image,label
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063843458_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063843458_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063830205_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063830205_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063830346_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063830346_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063830769_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063830769_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063853323_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063853323_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063817253_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063817253_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063839228_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063839228_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063836549_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063836549_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063847913_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063847913_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063827004_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063827004_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063836267_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063836267_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063832884_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063832884_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063817901_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063817901_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063826843_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063826843_Camera_5_bin.png
/media/aaron/本地磁盘/dataset/BaiduLane_lite/Image_Data/Road02/Record001/Camera 5/170927_063844868_Camera_5.jpg,/media/aaron/本地磁盘/dataset/BaiduLane_lite/Gray_Label/Label_road02/Label/Record001/Camera 5/170927_063844868_Camera_5_bin.png
